Name,Market Capitalization,Procent 100 cap,Procent
Bitcoin (Биткоин)BTC,"₽102,836,968,038,551",54.8, %
Ethereum (Эфириум)ETH,"₽34,791,295,109,375",18.5, %
Tether (Тезер)USDT,"₽9,648,352,931,961",5.1, %
BNBBNB,"₽7,211,638,586,427",3.8, %
Solana (Солана)SOL,"₽5,623,713,366,718",3.0, %
USDCUSDC,"₽2,766,334,597,215",1.5, %
XRPXRP,"₽2,259,773,884,187",1.2, %
Toncoin (Тонкоин)TON,"₽1,602,712,488,907",50.0, %
Dogecoin (Догекоин)DOGE,"₽1,524,826,926,169",49.9, %
Cardano (Кардано)ADA,"₽1,190,436,989,403",46.1, %
TRON (ТРОН)TRX,"₽937,658,152,718",39.9, %
Avalanche (Аваланч)AVAX,"₽936,621,066,771",37.9, %
Shiba Inu (Шиба-ину)SHIB,"₽864,291,557,829",34.5, %
Polkadot (Полькадот)DOT,"₽748,431,526,265",25.6, %
Chainlink (Чейнлинк)LINK,"₽710,416,157,034",24.9, %
Bitcoin Cash (Биткоин-кэш)BCH,"₽646,503,734,280",24.9, %
Litecoin (Лайткоин)LTC,"₽479,894,901,129",24.5, %
NEAR ProtocolNEAR,"₽466,331,408,015",24.6, %
Polygon (Полигон)MATIC,"₽466,562,168,343",24.4, %
Uniswap (Юнисвап)UNI,"₽460,317,583,402",22.3, %
UNUS SED LEOLEO,"₽461,631,007,290",20.0, %
DaiDAI,"₽457,972,903,841",17.0, %
PepePEPE,"₽418,420,620,033",15.7, %
KaspaKAS,"₽374,363,182,844",14.4, %
Internet Computer (Интернет-компьютер)ICP,"₽318,498,748,175",14.0, %
Ethereum ClassicETC,"₽293,876,652,103",12.9, %
AptosAPT,"₽269,353,492,226",12.5, %
MoneroXMR,"₽263,014,483,924",12.1, %
RenderRNDR,"₽241,615,958,892",12.0, %
HederaHBAR,"₽234,675,849,330",11.6, %
StellarXLM,"₽226,477,546,724",11.6, %
CosmosATOM,"₽224,723,169,443",11.5, %
ArbitrumARB,"₽218,005,801,525",11.3, %
MantleMNT,"₽217,654,134,401",11.2, %
OKBOKB,"₽215,972,807,973",11.0, %
FilecoinFIL,"₽212,046,335,973",10.4, %
StacksSTX,"₽209,452,028,320",10.1, %
CronosCRO,"₽206,989,040,942",9.9, %
MakerMKR,"₽195,432,846,112",9.8, %
ImmutableIMX,"₽189,282,902,647",9.8, %
First Digital USDFDUSD,"₽186,471,706,477",9.7, %
dogwifhatWIF,"₽184,592,502,943",9.0, %
InjectiveINJ,"₽183,706,352,687",9.0, %
VeChainVET,"₽182,908,561,520",8.8, %
OptimismOP,"₽169,767,528,954",8.4, %
The GraphGRT,"₽169,578,126,259",8.3, %
SuiSUI,"₽165,225,761,738",7.9, %
BittensorTAO,"₽157,524,828,653",7.3, %
ArweaveAR,"₽155,127,835,647",7.3, %
Lido DAOLDO,"₽148,988,612,031",7.2, %
FLOKIFLOKI,"₽137,026,411,915",7.1, %
Bitget TokenBGB,"₽136,285,672,267",7.0, %
OndoONDO,"₽134,538,152,733",7.0, %
BonkBONK,"₽133,362,374,065",6.8, %
Brett (Based)BRETT,"₽130,843,856,040",6.7, %
FantomFTM,"₽130,764,920,613",6.6, %
Theta NetworkTHETA,"₽128,462,669,699",6.5, %
NotcoinNOT,"₽125,307,250,079",6.1, %
JasmyCoinJASMY,"₽124,723,446,110",5.4, %
AaveAAVE,"₽122,616,865,786",5.4, %
THORChainRUNE,"₽114,878,806,906",5.4, %
CelestiaTIA,"₽102,097,296,464",5.2, %
Fetch.aiFET,"₽101,059,007,011",5.2, %
CoreCORE,"₽100,900,664,872",5.0, %
Pyth NetworkPYTH,"₽98,232,806,874",4.7, %
AlgorandALGO,"₽98,400,680,017",4.7, %
JupiterJUP,"₽93,484,787,160",4.3, %
FlareFLR,"₽89,045,058,628",4.2, %
SeiSEI,"₽87,712,151,225",4.2, %
KuCoin TokenKCS,"₽81,120,924,328",4.0, %
QuantQNT,"₽78,991,035,643",4.0, %
FlowFLOW,"₽78,660,072,997",4.0, %
Axie InfinityAXS,"₽75,112,612,231",4.0, %
Bitcoin SVBSV,"₽74,958,866,250",4.0, %
StarknetSTRK,"₽74,771,087,724",3.9, %
GalaGALA,"₽74,625,762,304",3.9, %
Akash NetworkAKT,"₽74,199,717,777",3.8, %
EOSEOS,"₽72,707,700,044",3.8, %
Ethereum Name ServiceENS,"₽72,294,497,931",3.7, %
ORDIORDI,"₽72,010,719,263",3.7, %
BitTorrent [New]BTT,"₽71,434,002,392",3.6, %
dYdX (Native)DYDX,"₽68,845,267,846",3.6, %
NeoNEO,"₽68,636,758,534",3.6, %
MultiversXEGLD,"₽67,395,390,915",3.5, %
EthenaENA,"₽66,743,226,364",3.5, %
BeamBEAM,"₽66,886,066,019",3.5, %
PendlePENDLE,"₽66,083,637,349",3.4, %
TezosXTZ,"₽65,681,342,879",3.3, %
SingularityNETAGIX,"₽65,563,635,366",3.3, %
The SandboxSAND,"₽64,427,863,001",3.3, %
USDDUSDD,"₽62,782,685,901",3.2, %
GateTokenGT,"₽62,062,711,642",3.2, %
GnosisGNO,"₽61,621,396,560",3.2, %
Mog CoinMOG,"₽60,352,121,320",3.1, %
WorldcoinWLD,"₽59,346,819,657",3.0, %
RoninRON,"₽59,258,370,332",3.0, %
BOOK OF MEMEBOME,"₽58,431,758,571",3.0, %
